province,value
กระบี่,2982764.44333
กรุงเทพมหานคร,101229339.00728
กรุงเทพมหานครและปริมณฑล,134374249.23127
กาญจนบุรี,3323590.48947
กาฬสินธุ์,1561466.13652
กำแพงเพชร,1764089.13955
ขอนแก่น,6826230.15987
จันทบุรี,2347487.07228
ฉะเชิงเทรา,6093016.39957
ชลบุรี,37464180.77621
ชัยนาท,1053453.88136
ชัยภูมิ,1996967.26667
ชุมพร,3008267.05067
ตรัง,1833492.6071900001
ตราด,918203.03378
ตาก,2171270.6724
ทั่วราชอาณาจักร,385925094.08603
นครนายก,888480.07547
นครปฐม,6261378.62536
นครพนม,992976.64837
นครราชสีมา,11738630.37092
นครศรีธรรมราช,5682976.40896
นครสวรรค์,4044999.22927
นนทบุรี,8661060.85154
นราธิวาส,662243.39542
น่าน,1004905.41571
บึงกาฬ,365035.41543
บุรีรัมย์,4313821.89939
ปทุมธานี,9842565.56844
ประจวบคีรีขันธ์,3296095.78575
ปราจีนบุรี,2939753.2215
ปัตตานี,1279906.94157
พระนครศรีอยุธยา,7185409.04237
พะเยา,921654.89504
พังงา,1469752.20164
พัทลุง,938297.88728
พิจิตร,1824807.70367
พิษณุโลก,3847431.94307
ภาคกลาง,117325217.73536
ภาคตะวันออกเฉียงเหนือ,53061905.61469
ภาคเหนือ,37319261.88285
ภาคใต้,43818435.15207
ภูเก็ต,3561076.17888
มหาสารคาม,1777532.30916
มุกดาหาร,730557.78715
ยะลา,787651.48079
ยโสธร,945324.01108
ระนอง,603399.12007
ระยอง,13295683.85104
ราชบุรี,4742177.82916
ร้อยเอ็ด,2197408.89172
ลพบุรี,2859163.0509699997
ลำปาง,3866927.6364700003
ลำพูน,1173480.58587
ศรีสะเกษ,2370129.85105
สกลนคร,1955673.2415
สงขลา,11446548.45351
สตูล,799032.07207
สมุทรปราการ,14641283.80401
สมุทรสงคราม,1341287.89122
สมุทรสาคร,7283999.95741
สระบุรี,6157797.2657
สระแก้ว,1465418.97084
สิงห์บุรี,1111136.87729
สุพรรณบุรี,3156985.44197
สุราษฎร์ธานี,8763026.91069
สุรินทร์,2355249.33329
สุโขทัย,1679047.75193
หนองคาย,1142817.52149
หนองบัวลำภู,623514.36273
อำนาจเจริญ,467262.01534
อุดรธานี,5823490.4519299995
อุตรดิตถ์,1106299.2719999999
อุทัยธานี,744997.29207
อุบลราชธานี,3696893.94177
อ่างทอง,999230.15268
เชียงราย,3088788.1727
เชียงใหม่,6613712.801849999
เพชรบุรี,3141279.0939599997
เพชรบูรณ์,2031042.84676
เลย,1180923.85931
แพร่,1072197.72582
แม่ฮ่องสอน,363608.43867
